_id,year,county_id,county_name,racial_ethnic_group,median_income,income_gap_from_white,income_gap_from_white_percent
1,2000,42017,Bucks,All,105537,1817,0.017
2,2000,42017,Bucks,Asian alone,109504,-2150,-0.020
3,2000,42017,Bucks,Black or African American alone,72559,34795,0.324
4,2000,42017,Bucks,Latinx,75966,31388,0.292
5,2000,42017,Bucks,Other,87139,20215,0.188
6,2000,42017,Bucks,People of Color,84137,23217,0.216
7,2000,42017,Bucks,"White alone, non-Latinx",107354,0,0.000
8,2000,34005,Burlington,All,103560,2886,0.027
9,2000,34005,Burlington,Asian alone,108605,-2159,-0.020
10,2000,34005,Burlington,Black or African American alone,94299,12147,0.114
11,2000,34005,Burlington,Latinx,90374,16072,0.151
12,2000,34005,Burlington,Other,81028,25418,0.239
13,2000,34005,Burlington,People of Color,94759,11687,0.110
14,2000,34005,Burlington,"White alone, non-Latinx",106446,0,0.000
15,2000,34007,Camden,All,84988,9142,0.097
16,2000,34007,Camden,Asian alone,101855,-7725,-0.082
17,2000,34007,Camden,Black or African American alone,61936,32194,0.342
18,2000,34007,Camden,Latinx,52472,41658,0.443
19,2000,34007,Camden,Other,65422,28708,0.305
20,2000,34007,Camden,People of Color,63847,30283,0.322
21,2000,34007,Camden,"White alone, non-Latinx",94130,0,0.000
22,2000,42029,Chester,All,115375,4722,0.039
23,2000,42029,Chester,Asian alone,133543,-13446,-0.112
24,2000,42029,Chester,Black or African American alone,66557,53540,0.446
25,2000,42029,Chester,Latinx,78928,41169,0.343
26,2000,42029,Chester,Other,80782,39315,0.327
27,2000,42029,Chester,People of Color,81828,38269,0.319
28,2000,42029,Chester,"White alone, non-Latinx",120097,0,0.000
29,2000,42045,Delaware,All,88513,5045,0.054
30,2000,42045,Delaware,Asian alone,89626,3932,0.042
31,2000,42045,Delaware,Black or African American alone,58359,35199,0.376
32,2000,42045,Delaware,Latinx,68645,24913,0.266
33,2000,42045,Delaware,Other,51881,41677,0.445
34,2000,42045,Delaware,People of Color,63436,30122,0.322
35,2000,42045,Delaware,"White alone, non-Latinx",93558,0,0.000
36,2000,34015,Gloucester,All,95901,2433,0.025
37,2000,34015,Gloucester,Asian alone,127370,-29036,-0.295
38,2000,34015,Gloucester,Black or African American alone,72107,26227,0.267
39,2000,34015,Gloucester,Latinx,79389,18945,0.193
40,2000,34015,Gloucester,Other,79389,18945,0.193
41,2000,34015,Gloucester,People of Color,79056,19278,0.196
42,2000,34015,Gloucester,"White alone, non-Latinx",98334,0,0.000
43,2000,34021,Mercer,All,100035,13601,0.120
44,2000,34021,Mercer,Asian alone,147170,-33534,-0.295
45,2000,34021,Mercer,Black or African American alone,65549,48087,0.423
46,2000,34021,Mercer,Latinx,72494,41142,0.362
47,2000,34021,Mercer,Other,83878,29758,0.262
48,2000,34021,Mercer,People of Color,78921,34715,0.305
49,2000,34021,Mercer,"White alone, non-Latinx",113636,0,0.000
50,2000,42091,Montgomery,All,107484,2131,0.019
51,2000,42091,Montgomery,Asian alone,107198,2417,0.022
52,2000,42091,Montgomery,Black or African American alone,82925,26690,0.243
53,2000,42091,Montgomery,Latinx,88086,21529,0.196
54,2000,42091,Montgomery,Other,86681,22934,0.209
55,2000,42091,Montgomery,People of Color,90480,19135,0.175
56,2000,42091,Montgomery,"White alone, non-Latinx",109615,0,0.000
57,2000,42101,Philadelphia,All,54328,11180,0.171
58,2000,42101,Philadelphia,Asian alone,49112,16396,0.250
59,2000,42101,Philadelphia,Black or African American alone,46325,19183,0.293
60,2000,42101,Philadelphia,Latinx,36687,28821,0.440
61,2000,42101,Philadelphia,Other,39351,26157,0.399
62,2000,42101,Philadelphia,People of Color,45081,20427,0.312
63,2000,42101,Philadelphia,"White alone, non-Latinx",65508,0,0.000
64,2005,42017,Bucks,All,96946,3250,0.032
65,2005,42017,Bucks,Asian alone,106960,-6764,-0.068
66,2005,42017,Bucks,Black or African American alone,60912,39284,0.392
67,2005,42017,Bucks,Latinx,67973,32223,0.322
68,2005,42017,Bucks,Other,85775,14421,0.144
69,2005,42017,Bucks,People of Color,77877,22319,0.223
70,2005,42017,Bucks,"White alone, non-Latinx",100196,0,0.000
71,2005,34005,Burlington,All,104021,3981,0.037
72,2005,34005,Burlington,Asian alone,122355,-14353,-0.133
73,2005,34005,Burlington,Black or African American alone,82041,25961,0.240
74,2005,34005,Burlington,Latinx,69905,38097,0.353
75,2005,34005,Burlington,Other,82344,25658,0.238
76,2005,34005,Burlington,People of Color,85834,22168,0.205
77,2005,34005,Burlington,"White alone, non-Latinx",108002,0,0.000
78,2005,34007,Camden,All,80621,11568,0.125
79,2005,34007,Camden,Asian alone,115019,-22830,-0.248
80,2005,34007,Camden,Black or African American alone,52078,40111,0.435
81,2005,34007,Camden,Latinx,47876,44313,0.481
82,2005,34007,Camden,Other,48330,43859,0.476
83,2005,34007,Camden,People of Color,56572,35617,0.386
84,2005,34007,Camden,"White alone, non-Latinx",92189,0,0.000
85,2005,42029,Chester,All,109517,3524,0.031
86,2005,42029,Chester,Asian alone,148916,-35875,-0.317
87,2005,42029,Chester,Black or African American alone,66733,46308,0.410
88,2005,42029,Chester,Latinx,62335,50706,0.449
89,2005,42029,Chester,Other,102675,10366,0.092
90,2005,42029,Chester,People of Color,88324,24717,0.219
91,2005,42029,Chester,"White alone, non-Latinx",113041,0,0.000
92,2005,42045,Delaware,All,83814,11176,0.118
93,2005,42045,Delaware,Asian alone,69887,25103,0.264
94,2005,42045,Delaware,Black or African American alone,49083,45907,0.483
95,2005,42045,Delaware,Latinx,76801,18189,0.191
96,2005,42045,Delaware,Other,66112,28878,0.304
97,2005,42045,Delaware,People of Color,55108,39882,0.420
98,2005,42045,Delaware,"White alone, non-Latinx",94990,0,0.000
99,2005,34015,Gloucester,All,97154,3804,0.038
100,2005,34015,Gloucester,Asian alone,115358,-14400,-0.143
101,2005,34015,Gloucester,Black or African American alone,71440,29518,0.292
102,2005,34015,Gloucester,Latinx,88873,12085,0.120
103,2005,34015,Gloucester,Other,122815,-21857,-0.216
104,2005,34015,Gloucester,People of Color,82705,18253,0.181
105,2005,34015,Gloucester,"White alone, non-Latinx",100958,0,0.000
106,2005,34021,Mercer,All,97414,15575,0.138
107,2005,34021,Mercer,Asian alone,141523,-28534,-0.253
108,2005,34021,Mercer,Black or African American alone,63506,49483,0.438
109,2005,34021,Mercer,Latinx,76299,36690,0.325
110,2005,34021,Mercer,Other,72994,39995,0.354
111,2005,34021,Mercer,People of Color,81310,31679,0.280
112,2005,34021,Mercer,"White alone, non-Latinx",112989,0,0.000
113,2005,42091,Montgomery,All,102768,4274,0.040
114,2005,42091,Montgomery,Asian alone,110271,-3229,-0.030
115,2005,42091,Montgomery,Black or African American alone,73854,33188,0.310
116,2005,42091,Montgomery,Latinx,68790,38252,0.357
117,2005,42091,Montgomery,Other,56513,50529,0.472
118,2005,42091,Montgomery,People of Color,81957,25085,0.234
119,2005,42091,Montgomery,"White alone, non-Latinx",107042,0,0.000
120,2005,42101,Philadelphia,All,49076,16660,0.253
121,2005,42101,Philadelphia,Asian alone,56997,8739,0.133
122,2005,42101,Philadelphia,Black or African American alone,38205,27531,0.419
123,2005,42101,Philadelphia,Latinx,32332,33404,0.508
124,2005,42101,Philadelphia,Other,37518,28218,0.429
125,2005,42101,Philadelphia,People of Color,38719,27017,0.411
126,2005,42101,Philadelphia,"White alone, non-Latinx",65736,0,0.000
127,2006,42017,Bucks,All,102740,3337,0.031
128,2006,42017,Bucks,Asian alone,107217,-1140,-0.011
129,2006,42017,Bucks,Black or African American alone,51970,54107,0.510
130,2006,42017,Bucks,Latinx,62519,43558,0.411
131,2006,42017,Bucks,Other,79003,27074,0.255
132,2006,42017,Bucks,People of Color,72467,33610,0.317
133,2006,42017,Bucks,"White alone, non-Latinx",106077,0,0.000
134,2006,34005,Burlington,All,99360,5424,0.052
135,2006,34005,Burlington,Asian alone,116218,-11434,-0.109
136,2006,34005,Burlington,Black or African American alone,78187,26597,0.254
137,2006,34005,Burlington,Latinx,61537,43247,0.413
138,2006,34005,Burlington,Other,74746,30038,0.287
139,2006,34005,Burlington,People of Color,80595,24189,0.231
140,2006,34005,Burlington,"White alone, non-Latinx",104784,0,0.000
141,2006,34007,Camden,All,83050,10076,0.108
142,2006,34007,Camden,Asian alone,87732,5394,0.058
143,2006,34007,Camden,Black or African American alone,63609,29517,0.317
144,2006,34007,Camden,Latinx,54569,38557,0.414
145,2006,34007,Camden,Other,56363,36763,0.395
146,2006,34007,Camden,People of Color,62517,30609,0.329
147,2006,34007,Camden,"White alone, non-Latinx",93126,0,0.000
148,2006,42029,Chester,All,113194,3520,0.030
149,2006,42029,Chester,Asian alone,141607,-24893,-0.213
150,2006,42029,Chester,Black or African American alone,55015,61699,0.529
151,2006,42029,Chester,Latinx,73356,43358,0.371
152,2006,42029,Chester,Other,86423,30291,0.260
153,2006,42029,Chester,People of Color,82259,34455,0.295
154,2006,42029,Chester,"White alone, non-Latinx",116714,0,0.000
155,2006,42045,Delaware,All,80266,7814,0.089
156,2006,42045,Delaware,Asian alone,95508,-7428,-0.084
157,2006,42045,Delaware,Black or African American alone,54996,33084,0.376
158,2006,42045,Delaware,Latinx,74312,13768,0.156
159,2006,42045,Delaware,Other,68892,19188,0.218
160,2006,42045,Delaware,People of Color,63343,24737,0.281
161,2006,42045,Delaware,"White alone, non-Latinx",88080,0,0.000
162,2006,34015,Gloucester,All,97418,620,0.006
163,2006,34015,Gloucester,Asian alone,114322,-16284,-0.166
164,2006,34015,Gloucester,Black or African American alone,76920,21118,0.215
165,2006,34015,Gloucester,Latinx,107183,-9145,-0.093
166,2006,34015,Gloucester,Other,113925,-15887,-0.162
167,2006,34015,Gloucester,People of Color,90483,7555,0.077
168,2006,34015,Gloucester,"White alone, non-Latinx",98038,0,0.000
169,2006,34021,Mercer,All,95296,12922,0.119
170,2006,34021,Mercer,Asian alone,157316,-49098,-0.454
171,2006,34021,Mercer,Black or African American alone,58326,49892,0.461
172,2006,34021,Mercer,Latinx,62447,45771,0.423
173,2006,34021,Mercer,Other,53524,54694,0.505
174,2006,34021,Mercer,People of Color,76681,31537,0.291
175,2006,34021,Mercer,"White alone, non-Latinx",108218,0,0.000
176,2006,42091,Montgomery,All,103869,3278,0.031
177,2006,42091,Montgomery,Asian alone,103055,4092,0.038
178,2006,42091,Montgomery,Black or African American alone,79328,27819,0.260
179,2006,42091,Montgomery,Latinx,87533,19614,0.183
180,2006,42091,Montgomery,Other,76933,30214,0.282
181,2006,42091,Montgomery,People of Color,87069,20078,0.187
182,2006,42091,Montgomery,"White alone, non-Latinx",107147,0,0.000
183,2006,42101,Philadelphia,All,48489,15105,0.238
184,2006,42101,Philadelphia,Asian alone,51396,12198,0.192
185,2006,42101,Philadelphia,Black or African American alone,39003,24591,0.387
186,2006,42101,Philadelphia,Latinx,34247,29347,0.461
187,2006,42101,Philadelphia,Other,39235,24359,0.383
188,2006,42101,Philadelphia,People of Color,39286,24308,0.382
189,2006,42101,Philadelphia,"White alone, non-Latinx",63594,0,0.000
190,2007,42017,Bucks,All,100255,1614,0.016
191,2007,42017,Bucks,Asian alone,137273,-35404,-0.348
192,2007,42017,Bucks,Black or African American alone,58738,43131,0.423
193,2007,42017,Bucks,Latinx,73314,28555,0.280
194,2007,42017,Bucks,Other,112252,-10383,-0.102
195,2007,42017,Bucks,People of Color,89468,12401,0.122
196,2007,42017,Bucks,"White alone, non-Latinx",101869,0,0.000
197,2007,34005,Burlington,All,104386,4966,0.045
198,2007,34005,Burlington,Asian alone,109301,51,0.000
199,2007,34005,Burlington,Black or African American alone,85239,24113,0.221
200,2007,34005,Burlington,Latinx,74266,35086,0.321
201,2007,34005,Burlington,Other,71473,37879,0.346
202,2007,34005,Burlington,People of Color,85348,24004,0.220
203,2007,34005,Burlington,"White alone, non-Latinx",109352,0,0.000
204,2007,34007,Camden,All,84126,12301,0.128
205,2007,34007,Camden,Asian alone,98777,-2350,-0.024
206,2007,34007,Camden,Black or African American alone,54721,41706,0.433
207,2007,34007,Camden,Latinx,58521,37906,0.393
208,2007,34007,Camden,Other,60472,35955,0.373
209,2007,34007,Camden,People of Color,60939,35488,0.368
210,2007,34007,Camden,"White alone, non-Latinx",96427,0,0.000
211,2007,42029,Chester,All,117979,2631,0.022
212,2007,42029,Chester,Asian alone,166720,-46110,-0.382
213,2007,42029,Chester,Black or African American alone,71432,49178,0.408
214,2007,42029,Chester,Latinx,87093,33517,0.278
215,2007,42029,Chester,Other,79333,41277,0.342
216,2007,42029,Chester,People of Color,96982,23628,0.196
217,2007,42029,Chester,"White alone, non-Latinx",120610,0,0.000
218,2007,42045,Delaware,All,85466,8231,0.088
219,2007,42045,Delaware,Asian alone,100868,-7171,-0.077
220,2007,42045,Delaware,Black or African American alone,53928,39769,0.424
221,2007,42045,Delaware,Latinx,72644,21053,0.225
222,2007,42045,Delaware,Other,67669,26028,0.278
223,2007,42045,Delaware,People of Color,63136,30561,0.326
224,2007,42045,Delaware,"White alone, non-Latinx",93697,0,0.000
225,2007,34015,Gloucester,All,100576,1657,0.016
226,2007,34015,Gloucester,Asian alone,177498,-75265,-0.736
227,2007,34015,Gloucester,Black or African American alone,87560,14673,0.144
228,2007,34015,Gloucester,Latinx,71618,30615,0.299
229,2007,34015,Gloucester,Other,106044,-3811,-0.037
230,2007,34015,Gloucester,People of Color,96718,5515,0.054
231,2007,34015,Gloucester,"White alone, non-Latinx",102233,0,0.000
